Item,,UnitCost
Product Description,UoM,
Adaptor 25mm(1 Inch ) - UPVC,Each,46.00
Adaptors 32mm ( 1 ¼ Inch) UPVC,Each,52.00
Air vents - Concrete made,pair,28.00
Air vents - PVC made,pair,18.00
Anti-termite 1 Liter,Each,94.00
Bathtub - Stainless steel,Each,3083.00
Bathtub -Fiber make,Each,2327.00
Bend - 32mm (1 ¼ Inch) Diameter PVC plain,Each,24.00
Black soil,Ton,320.00
Blockboard - 18mm thick for shelvings and pelmet - 1220 x 2440 mm,Each,1281.00
Bolts - M12x 50 bolts complete with nut and two(2No.) washers,Each,31.00
Bolts - M16 anchor bolts,Each,53.00
Bolts - M16 x 55 bolts complete with nut and two (2No.) washers,Each,56.00
Bolts & Nuts M16,Each,39.00
Bolts and Nuts 35X 8mm,Each,42.00
Brick -Burnt Clay Brick,Each,4.00
Brick force Wire 4 inch (100mm),Roll,37.00
Brick force Wire 6 inch (150mm),Roll,45.00
Brick force Wire 8 inch (200mm),Roll,53.00
Brick-Factory Made Brick,Each,13.00
Building Sand,Ton,359.00
Ceiling - 6mm Fiber cement pre- painted inlay panels 1200 x 600mm,Each,197.00
Ceiling - PVC Ceiling,m2,164.00
Cement 32.5-50Kg,Each,195.00
Cement 42.5-50Kg,Each,208.00
Chalk board 4800 x 1200mm,Each,1977.00
Claw hammer,Each,148.00
Clear varnish - 1 Litres,Each,151.00
Clear varnish - 2.5 Litres,Each,312.00
Clear varnish - 5 Litres,Each,583.00
Concrete brick,Each,17.00
Concrete Hollow Block - 6 Inch (150mm) Thick,Each,13.00
Concrete Hollow Block - 8 Inch (200mm) thick,Each,15.00
Concrete Hollow Block- 4 Inch (100mm) Thick,Each,11.00
Concrete Pavers,M2,168.00
Conduit pipes - 4m x 20mm x 25 pcs PVC (Light Duty),Bunch,609.00
Conduitpipes - 4m x 25mm x 25 pcs PVC (Heavy Duty),Bunch,1558.00
Conforce wire - 257 3.2mm x 48 meters length(Heavy Duty),Each,3741.00
Conforce wire - 257-4mm x 48 meters length(Heavy Duty),Each,4812.00
Conforce wire - 86 x 40 meters length(Light Duty),Each,1432.00
Conforce wire - 86 x 50 meters length(Light Duty),Each,1645.00
Crip saddle - GI,Each,3.00
Crip saddle - PVC,Each,2.00
Crushed Stones - 10mm,Ton,379.00
Crushed Stones - 20mm,Ton,379.00
Crushed Stones - 5mm,Ton,355.00
Curtain Single Track - 2m,Each,279.00
Curtain Steel Rod - 2.5m,Each,309.00
Curtain Steel Rod - 3m,Each,437.00
Damp Proof Course (DPC),Roll,90.00
Damp Proof Course (DPC),Roll,92.00
Damp Proof Membrane (DPM) - Black plastic,Roll,1098.00
Diamond Cutting Disc - 12 inch,Each,224.00
Diamond Cutting Disc - 3 inch,Each,105.00
Diamond Cutting Disc - 6 inch,Each,138.00
Diamond Cutting Disc - 9 inch,Each,203.00
Diamond mesh wire 1.2m x 30m x 2mm,Each,2455.00
Door - 525 x 1960 x 44mm Mukwa Door,Each,1869.00
Door - 525 x 1960 x 44mm semi solid Core Flush Door,Each,946.00
Door - 525 x 1960 x 44mm thick Flush Door,Each,653.00
Door - 625 x 1960 x 44mm Mukwa Door,Each,2393.00
Door - 625 x 1960 x 44mm Semi Solid Core Flush Door,Each,1046.00
Door - 625 x 1960 x 44mm Thick Flush Door,Each,607.00
Door - 725 x 1960 x 44 mm semi solid Core Flush Door,Each,814.00
Door - 725 x 1960 x 44 mm Thick Flush Door,Each,634.00
Door - 725 x 1960 x 44mm Thick Mukwa Door,Each,2331.00
Door - 825 x 1960 x 44 mm Semi Solid Core Flush Door,Each,1109.00
Door - 825 x 1960 x 44 mm Thick Flush Door,Each,749.00
Door - 825 x 1960 x 44 mm Thick Rosewood veneered H/C Door,Each,3329.00
Door - 825 x 1960 x 44mm Thick Mukwa Door,Each,2588.00
Door rubber stopper,Each,56.00
Earth Copper wire,m,66.00
Elbow - 13mm (½ inc) -GI,Each,17.00
Elbow - 13mm (½ inch) Diameter-PVC,Each,11.00
Elbow - 19 mm (¼ inch) Diameter - PVC,Each,14.00
Elbow - 19mm (¾ inch) - GI,Each,25.00
Elbow - 25mm (1 inch)-GI,Each,31.00
Elbow - 25mm (1 inch)-PVC,Each,26.00
Equal Angles 25 x 25 x 3mm angle iron x 6 metres,Each,198.00
Equal Angles 30 x 30 x 3mm angle iron x 6 metres,Each,226.00
Equal Angles 40 x 40 x 5mm angle iron x 6 metres,Each,397.00
Equal Angles 50 x 50 x 5mm angle iron x 6 metres,Each,700.00
Equal Angles 60 x 60 x 5mm angle iron x 6 metres,Each,871.00
Equal Angles 70 x 70 x 8mm angle iron x 6 metres,Each,1160.00
Equal Angles 80 x 80 x 8mm angle iron x 6 metres,Each,1556.00
Equal Angles 90 x 90 x 8mm angle iron x 6 metres,Each,1896.00
Female adaptor - 13mm (½ inch) - GI,Each,19.00
Female adaptor - 13mm (½ inch) - PVC,Each,15.00
Female adaptor -19mm (¼ inch) - GI,Each,26.00
Female adaptor -19mm (¼ inch) - PVC,Each,23.00
Flat sheets 2450 x1225 x 0.5mm,Each,626.00
Flat sheets 2450 x1225 x 0.6mm,Each,670.00
Flat sheets 2450 x1225 x 0.7mm,Each,814.00
Flat sheets 2450 x1225 x 1.0mm,Each,1121.00
Flexible Copper Connector - 13mm (½ Inch) Diameter,Each,62.00
