S/No,Product Description,UoM,Max
1,Adaptor 25mm(1 Inch ) - UPVC,Each,38
2,Adaptors 32mm ( 1 ¼ Inch) UPVC,Each,44
3,Air vents - Concrete made,pair,38
4,Air vents - PVC made,pair,14
5,Anti-termite 1 Liter,Each,94
6,Bathtub - Stainless steel,Each,"2,096"
7,Bathtub -Fiber make,Each,"1,700"
8,Bend - 32mm (1 ¼ Inch) Diameter PVC plain,Each,26
9,Bolts & Nuts M16,Each,21
10,Bolts and Nuts 35X 8mm,Each,85
11,Brick force Wire 4 inch (100mm),Roll,30
12,Brick force Wire 6 inch (150mm),Roll,38
13,Brick force Wire 8 inch (200mm),Roll,43
14,Cement 32.5-50Kg,Each,142
15,Cement 42.5-50Kg,Each,147
16,Chalk board 4800 x 1200mm,Each,595
17,Claw hammer,Each,85
18,Clear varnish - 1 Litres,Each,79
19,Clear varnish - 2.5 Litres,Each,213
20,Clear varnish - 5 Litres,Each,378
21,"Concrete Hollow Block - 6 Inch (150mm)
Thick",Each,10
22,"Concrete Hollow Block - 8 Inch (200mm)
thick",Each,12
23,"Concrete Hollow Block- 4 Inch (100mm)
Thick",Each,9
24,Concrete Pavers,M2,128
25,"Conduit pipes- 4mx 20mmx 25 pcsPVC
(Light Duty)",Bunch,153
26,"Conduitpipes - 4m x 25mm x 25 pcs PVC
(Heavy Duty)",Bunch,465
27,"Conforce wire - 257 3.2mm x 48 meters
length(Heavy Duty)",Each,"2,380"
28,"Conforce wire - 257-4mm x 48 meters
length(Heavy Duty)",Each,"4,250"
29,"Conforcewire-86x40meterslength(Light
Duty)",Each,"1,184"
30,"Conforcewire-86x50meterslength(Light
Duty)",Each,"1,443"
31,Crip saddle - GI,Each,3
32,Crip saddle - PVC,Each,2
33,Damp Proof Course (DPC),Roll,67
34,Damp Proof Membrane (DPM) - Black plastic,Roll,884
35,Diamond Cutting Disc - 12 inch,Each,128
36,Diamond Cutting Disc - 3 inch,Each,51
37,Diamond Cutting Disc - 6 inch,Each,68
38,Diamond Cutting Disc - 9 inch,Each,102
39,Door - 525 x 1960 x 44mm thick Flush Door,Each,445
40,Door - 625 x 1960 x 44mm Mukwa Door,Each,850
41,"Door-625x1960x44mmSemiSolidCore
Flush Door",Each,850
42,Door - 625 x 1960 x 44mm Thick Flush Door,Each,"1,275"
43,"Door-725x1960x44mmsemisolidCore
Flush Door",Each,"1,275"
44,Door - 725 x 1960 x 44 mm Thick Flush Door,Each,425
45,"Door - 725 x 1960 x 44mm Thick Mukwa
Door",Each,850
46,"Door-825x1960x44mmSemiSolidCore
Flush Door",Each,"1,275"
47,Door - 825 x 1960 x 44 mm Thick Flush Door,Each,425
48,"Door - 825 x 1960 x 44mm Thick Mukwa
Door",Each,850
49,Door rubber stopper,Each,85
50,Earth Copper wire,m,41
51,Elbow - 13mm (½ inc) -GI,Each,27
52,Elbow - 13mm (½ inch) Diameter-PVC,Each,8
53,Elbow - 19 mm (¼ inch) Diameter - PVC,Each,9
54,Elbow - 19mm (¾ inch) - GI,Each,26
55,Elbow - 25mm (1 inch)-GI,Each,33
56,Elbow - 25mm (1 inch)-PVC,Each,22
57,"EqualAngles25x25x3mmangleironx6
metres",Each,142
58,"EqualAngles30x30x3mmangleironx6
metres",Each,153
59,"EqualAngles40x40x5mmangleironx6
metres",Each,235
60,"EqualAngles50x50x5mmangleironx6
metres",Each,453
61,"EqualAngles60x60x5mmangleironx6
metres",Each,569
62,"EqualAngles70x70x8mmangleironx6
metres",Each,743
63,"EqualAngles80x80x8mmangleironx6
metres",Each,"1,020"
64,"EqualAngles90x90x8mmangleironx6
metres",Each,"1,020"
65,Flat sheets 2450 x1225 x 0.5mm,Each,425
66,Flat sheets 2450 x1225 x 0.6mm,Each,510
67,Flat sheets 2450 x1225 x 0.7mm,Each,638
68,Flat sheets 2450 x1225 x 1.0mm,Each,850
69,"FlexibleCopperConnector-13mm(½Inch)
Diameter",Each,33
70,"Flexible PVC Connector - 13mm (½ inch)
Diameter",Each,26
71,Gate valve - 13mm (½ inch) - Brass,Each,43
72,Gate valve - 13mm (½ inch) - PVC,Each,41
73,Gate valve - 19mm (¾ inch) - PVC,Each,48
