Type,Component,Quantity,Comment
Foundation walls_200mm,8''blocks,14.17,blocks per sq.m with 5% waste
Foundation walls_200mm,Cement_50kg bag,6.153846154,cement for motar per sq.m with 40% shrinkage
Foundation walls_200mm,Brick_force,3,Conforce wire every 2 courses per sq.m
Foundation walls_200mm,RiverSand,1.2,Sand for motor per cu.m
,Waste motor,,
,plaster,,
,,,
Concrete_slab_100mm,Cement_50kg bag,8,Grade C25 or mix ratio 1:2:4
Concrete_slab_100mm,Quarry dust,0.3,6mm quarry dust 
Concrete_slab_100mm,CrushedStone,0.7,
Concrete_slab_100mm,CrushedStone,0.7,
,,,
150x200mm Y12 RC beam,Cement_50kg bag,1,
150x200mm Y12 RC beam,RiverSand,0.1,
150x200mm Y12 RC beam,CrushedStone,2.5,
2mm Ceiling,Pvc,1,
2mm Ceiling,Pvc,1,
2400 mm x 1200 mm,win,5,
TK,win,5,
IBR_0.4mm thick,IBR,6,
Lipped Channel 150x50x20x3mm,IBR,3,
,,,
UC152x152x23,Cement_50kg bag,12,
UC152x152x24,Quarry dust,0.3,
UC152x152x25,CrushedStone,0.7,
,CrushedStone,0.7,
,,,
300 x 300mm,Cement_50kg bag,12,
301 x 300mm,Quarry dust,0.3,
302 x 300mm,CrushedStone,0.7,
303 x 300mm,CrushedStone,0.7,
,,,
C1,CrushedStone,0.7,
C1,Cement_50kg bag,12,
C1,Quarry dust,0.3,
,,,
Interior door,Door panel,1,
Interior door,Door frame,1,
Interior door,Mortise lock,1,
,,,
Structural Rebar 1,Cement_50kg bag,12,
3 lever Mortice lock,Mortise lock,1,
3 lever Mortice lock,Cement_50kg bag,1,
,,,
Door panel,Door panel,1,
Double Rebat door frame,Door frame,1,
Complete lock set,Mortise lock,1,
Door stopper,Door stopper,1,
W1,Door stopper,1,
